"break_size","strategy","horizon","rmse","mae"
"small","full","h1",1.24324001366501,1.00667734269537
"small","full","h1",1.31746479090468,1.04788920171161
"small","full","h1",1.52299251336129,1.23592088098307
"small","full","h1",1.58501046549402,1.29940831026234
"small","full","h1",1.17908530983784,0.98164834577484
"small","full","h1",1.16601264644821,0.973655209482105
"small","full","h1",1.11138057636021,0.899268213327594
"small","full","h1",1.28316422414155,1.00065262146539
"small","full","h1",1.44200622227491,1.15883590320162
"small","full","h1",0.987362794350211,0.762397793783517
"small","full","h1",1.39128580399214,1.11922062210529
"small","full","h1",1.15237533390311,0.910437923609333
"small","full","h1",1.39266837470164,1.16295306174669
"small","full","h1",1.45299157154126,1.21107340084077
"small","full","h1",1.22881735727581,0.968545362309653
"small","full","h1",1.35255781945758,1.11466519946946
"small","full","h1",1.17181463436111,0.895570967842702
"small","full","h1",1.63957296652386,1.29971446150296
"small","full","h1",1.25034804852907,0.999113656806538
"small","full","h1",1.03543087149518,0.878628661543228
"small","full","h1",1.26179971515748,1.01631016469949
"small","full","h1",1.51989076792097,1.20507500997319
"small","full","h1",0.999039826866779,0.797949852481657
"small","full","h1",1.1362976580115,0.905546660579386
"small","full","h1",1.42545565655264,1.18637146359489
"small","full","h1",1.01263562548272,0.783679899007009
"small","full","h1",1.23517458695584,1.01406521134341
"small","full","h1",1.63372323434653,1.39610409804486
"small","full","h1",1.23325736675407,1.00637850856717
"small","full","h1",1.11165790397097,0.857227807468645
"small","full","h1",1.02238610534435,0.793176672633705
"small","full","h1",1.28007068977633,1.0192201295614
"small","full","h1",1.17727471602691,0.896552102908082
"small","full","h1",0.99160126118177,0.783259631406412
"small","full","h1",1.07631439933816,0.841944121089042
"small","full","h1",0.929014026587043,0.740949510822066
"small","full","h1",1.27699455970323,1.01912970988514
"small","full","h1",0.959816593994708,0.765880771936946
"small","full","h1",1.40557211134373,1.1419574790108
"small","full","h1",1.23894784952753,0.984951616341361
"small","full","h1",1.12633922136239,0.920083900902609
"small","full","h1",1.80402921179298,1.41917057706156
"small","full","h1",1.08711228819932,0.894106195568545
"small","full","h1",1.46080748898944,1.24689549646092
"small","full","h1",1.11388695333647,0.928637893902333
"small","full","h1",1.31725380757954,1.04633190457647
"small","full","h1",2.11115473395748,1.85672681349401
"small","full","h1",1.44166212127503,1.20804174228026
"small","full","h1",1.29070661168028,1.05173963224801
"small","full","h1",1.18660351918435,0.921067005645537
"small","full","h1",1.52151471085908,1.26051166503464
"small","full","h1",1.17207007975879,0.983761056404153
"small","full","h1",1.17401631728389,0.905293883161148
"small","full","h1",1.66817924018047,1.40471861508782
"small","full","h1",1.566604326891,1.29688875288628
"small","full","h1",1.29819353767919,1.10362385449108
"small","full","h1",1.06302108470581,0.860400668118115
"small","full","h1",0.953963643565536,0.777596415482819
"small","full","h1",1.06619393191131,0.875901437803912
"small","full","h1",1.36064830415393,1.02575675198511
"small","full","h1",0.979229437645496,0.739268432885837
"small","full","h1",1.33193360255088,1.10530894605231
"small","full","h1",1.15584872267545,0.946448461784053
"small","full","h1",1.31577861933811,1.00877460427243
"small","full","h1",1.16047273448096,0.928346809556976
"small","full","h1",1.04620332499969,0.832170706376556
"small","full","h1",1.25955535523462,1.03503782296075
"small","full","h1",1.09891956894223,0.888419479667809
"small","full","h1",1.68002726107626,1.3441543144033
"small","full","h1",1.16600361667699,0.931627470826587
"small","full","h1",0.979918822813519,0.81532327081791
"small","full","h1",1.33702492536359,1.06281293297784
"small","full","h1",1.31070704015739,1.06314271164426
"small","full","h1",1.25969138310865,0.955571466279386
"small","full","h1",1.10745998048933,0.931187985921512
"small","full","h1",1.33198128907186,1.05531802543684
"small","full","h1",1.39294136052301,1.05699511583839
"small","full","h1",2.09430666986951,1.78700014327285
"small","full","h1",1.09094888454439,0.908729212533581
"small","full","h1",1.30378860289871,1.04985134319689
"small","full","h1",1.2988713432292,1.10503782053441
"small","full","h1",1.17525936398355,0.958488664188803
"small","full","h1",1.12149627102597,0.885530596707791
"small","full","h1",1.40131658802151,1.13751764160991
"small","full","h1",1.50791287850849,1.25965025672222
"small","full","h1",1.03410934481985,0.851167955532472
"small","full","h1",1.32636551443524,1.05255388905534
"small","full","h1",1.25576423496697,0.953175495945431
"small","full","h1",1.29750067916249,1.10223121598327
"small","full","h1",1.37851894029684,1.17849252740502
"small","full","h1",0.989320206495005,0.786402227039256
"small","full","h1",1.10581941716719,0.928586419379388
"small","full","h1",1.45538423950593,1.08831008623975
"small","full","h1",1.12872884725643,0.870570822019958
"small","full","h1",1.22557693947217,1.06592236107109
